"Label","Description","Units (preferred) or format","Category","Used In"
"GPP_NT_CUT_MEAN","Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_CUT_XX version. average from 40 half-hourly GPP_NT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_REF","Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_CUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_NT_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_USTAR50","Gross Primary Production, from Nighttime partitioning method, based on NEE_CUT_USTAR50","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_05","Gross Primary Production, from Nighttime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_16","Gross Primary Production, from Nighttime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_25","Gross Primary Production, from Nighttime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_50","Gross Primary Production, from Nighttime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_75","Gross Primary Production, from Nighttime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_86","Gross Primary Production, from Nighttime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_CUT_95","Gross Primary Production, from Nighttime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_MEAN","Gross Primary Production, from Nighttime partitioning method, average from GPP versions, each from corresponding NEE_VUT_XX version. average from 40 half-hourly GPP_NT_VUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_REF","Gross Primary Production, from Nighttime partitioning method, reference selected from GPP versions using model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_SE","Standard Error for Gross Primary Production, calculated as  (SD(GPP_NT_VUT_XX) / SQRT(40)). SE from 40 half-hourly GPP_NT_VUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_USTAR50","Gross Primary Production, from Nighttime partitioning method, based on NEE_VUT_USTAR50","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_05","Gross Primary Production, from Nighttime partitioning method, pecentile 05 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_16","Gross Primary Production, from Nighttime partitioning method, pecentile 16 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_25","Gross Primary Production, from Nighttime partitioning method, pecentile 25 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_50","Gross Primary Production, from Nighttime partitioning method, pecentile 50 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_75","Gross Primary Production, from Nighttime partitioning method, pecentile 75 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_86","Gross Primary Production, from Nighttime partitioning method, pecentile 86 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"GPP_NT_VUT_95","Gross Primary Production, from Nighttime partitioning method, pecentile 95 of the 40 estimations","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"H_CORR","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor","W m-2","FLUXNET VARIABLES","ICOS"
"H_CORR_25","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 25th percentile","W m-2","FLUXNET VARIABLES","ICOS"
"H_CORR_75","Sensible heat flux, corrected H_F_MDS by energy balance closure correction factor, 75th percentile","W m-2","FLUXNET VARIABLES","ICOS"
"H_CORR_JOINTUNC","Joint uncertainty estimation for H. [SQRT(H_RANDUNC^2 + ((H_CORR75 - H_CORR25) / 1.349)^2)]","W m-2","FLUXNET VARIABLES","ICOS"
"H_F_MDS","Sensible heat flux, gapfilled using MDS method","W m-2","FLUXNET VARIABLES","ICOS"
"H_F_MDS_QC","Quality flag for H_F_MDS, H_CORR, H_CORR25, and H_CORR75. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"H_RANDUNC","Random uncertainty of H, from measured only data. uses only data point where H_F_MDS_QC is 0 and two hierarchical methods (see header and H_RANDUNC_METHOD)","W m-2","FLUXNET VARIABLES","ICOS"
"H_RANDUNC_METHOD","Method used to estimate the random uncertainty of H. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","FLUXNET VARIABLES","ICOS"
"H_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of H","nondimensional","FLUXNET VARIABLES","ICOS"
"LE_CORR","Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor","W m-2","FLUXNET VARIABLES","ICOS"
"LE_CORR_25","Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 25th percentile","W m-2","FLUXNET VARIABLES","ICOS"
"LE_CORR_75","Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 75th percentile","W m-2","FLUXNET VARIABLES","ICOS"
"LE_CORR_JOINTUNC","Joint uncertainty estimation for LE. [SQRT(LE_RANDUNC^2 + ((LE_CORR75 - LE_CORR25) / 1.349)^2)]","W m-2","FLUXNET VARIABLES","ICOS"
"LE_F_MDS","Latent heat flux, gapfilled using MDS method","W m-2","FLUXNET VARIABLES","ICOS"
"LE_F_MDS_QC","Quality flag for LE_F_MDS, LE_CORR, LE_CORR25, and LE_CORR75. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"LE_RANDUNC","Random uncertainty of LE, from measured only data. uses only data point where LE_F_MDS_QC is 0 and two hierarchical methods (see header and LE_RANDUNC_METHOD)","W m-2","FLUXNET VARIABLES","ICOS"
"LE_RANDUNC_METHOD","Method used to estimate the random uncertainty of LE. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","FLUXNET VARIABLES","ICOS"
"LE_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of LE","nondimensional","FLUXNET VARIABLES","ICOS"
"LW_IN_ERA","Longwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data","W m-2","FLUXNET VARIABLES","ICOS"
"LW_IN_F","Longwave radiation, incoming, consolidated from LW_IN_F_MDS and LW_IN_ERA","W m-2","FLUXNET VARIABLES","ICOS"
"LW_IN_F_MDS","Longwave radiation, incoming, gapfilled using MDS","W m-2","FLUXNET VARIABLES","ICOS"
"LW_IN_F_MDS_QC","Quality flag for LW_IN_F_MDS. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"LW_IN_F_QC","Quality flag for LW_IN_F. 0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA","nondimensional","FLUXNET VARIABLES","ICOS"
"LW_IN_JSB","Longwave radiation, incoming, calculated from TA_F_MDS, SW_IN_F_MDS, VPD_F_MDS and SW_IN_POT using the JSBACH algorithm (Sonke Zaehle)","W m-2","FLUXNET VARIABLES","ICOS"
"LW_IN_JSB_ERA","Longwave radiation, incoming, downscaled from ERA, linearly regressed using site level LW_IN_JSB calculated from measured only drivers","W m-2","FLUXNET VARIABLES","ICOS"
"LW_IN_JSB_F","Longwave radiation, incoming, consolidated from LW_IN_JSB and LW_IN_JSB_ERA. LW_IN_JSB used if LW_IN_JSB_QC is 0 or 1","W m-2","FLUXNET VARIABLES","ICOS"
"LW_IN_JSB_F_QC","Quality flag for LW_IN_JSB_F. 0 = calculated from measured drivers; 1 = calculated from good quality gapfilled drivers; 2: downscaled from ERA","nondimensional","FLUXNET VARIABLES","ICOS"
"LW_IN_JSB_QC","Quality flag for LW_IN_JSB. highest from TA_F_MDS_QC, SW_IN_F_MDS_QC, and VPD_F_MDS_QC, poorest quality prevails","nondimensional","FLUXNET VARIABLES","ICOS"
"LW_OUT","Longwave radiation, outgoing","W m-2","FLUXNET VARIABLES","ICOS"
"NEE_CUT_MEAN","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, average from 40 NEE_CUT_XX versions","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_MEAN_QC","Quality flag for NEE_CUT_MEAN, fraction between 0-1 indicating percentage of good quality data. average of percentages of good data (NEE_CUT_XX_QC is 0 or 1) from 40 NEE_CUT_XX_QC","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_REF","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_REF_JOINTUNC","Joint uncertainty estimation for NEE_CUT_REF, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_REF_QC","Quality flag for NEE_CUT_REF. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_REF_RANDUNC","Random uncertainty for NEE_CUT_REF, from measured only data. uses only data points where NEE_CUT_REF_QC is 0 and two hierarchical methods - see header and NEE_CUT_REF_RANDUNC_METHOD","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_REF_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_CUT_REF. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_REF_RANDUNC_N","Number of data points used to estimate the random uncertainty of NEE_CUT_REF","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_SE","Standard Error for NEE_CUT, calculated as SD(NEE_CUT_XX) / SQRT(40) from 40 half-hourly NEE_CUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_USTAR50","Net Ecosystem Exchange, using Constant Ustar Threshold (CUT) across years, from 50 percentile of USTAR threshold","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_USTAR50_JOINTUNC","Joint uncertainty estimation for NEE_CUT_USTAR50, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_USTAR50_QC","Quality flag for NEE_CUT_USTAR50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_USTAR50_RANDUNC","Random uncertainty for NEE_CUT_USTAR50, from measured only data. uses only data points where NEE_CUT_USTAR50_QC is 0 and two hierarchical methods - see header and NEE_CUT_USTAR50_RANDUNC_METHOD","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_USTAR50_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_CUT_USTAR50 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_USTAR50_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of NEE_CUT_USTAR50","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_05","NEE CUT 05 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_16","NEE CUT 16 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_25","NEE CUT 25 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_50","NEE CUT 50 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_75","NEE CUT 75 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_86","NEE CUT 86 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_95","NEE CUT 95 percentile calculated from the 40 NEE_CUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_CUT_05_QC","Quality flag for NEE_CUT_05. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_16_QC","Quality flag for NEE_CUT_16. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_25_QC","Quality flag for NEE_CUT_25. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_50_QC","Quality flag for NEE_CUT_50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_75_QC","Quality flag for NEE_CUT_75. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_86_QC","Quality flag for NEE_CUT_86. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_CUT_95_QC","Quality flag for NEE_CUT_95. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_MEAN","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, average from 40 NEE_VUT_XX versions","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_MEAN_QC","Quality flag for NEE_VUT_MEAN, fraction between 0-1 indicating percentage of good quality data. average of percentages of good data (NEE_VUT_XX_QC is 0 or 1) from 40 NEE_VUT_XX_QC","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_REF","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, reference selected on the basis of the model efficiency (MEF). The MEF analysis is repeated for each time aggregation","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_REF_JOINTUNC","Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_REF_QC","Quality flag for NEE_VUT_REF. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_REF_RANDUNC","Random uncertainty for NEE_VUT_REF, from measured only data. uses only data points where NEE_VUT_REF_QC is 0 and two hierarchical methods - see header and NEE_VUT_REF_RANDUNC_METHOD","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_REF_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_VUT_REF. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_REF_RANDUNC_N","Number of data points used to estimate the random uncertainty of NEE_VUT_REF","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_SE","Standard Error for NEE_VUT, calculated as SD(NEE_VUT_XX) / SQRT(40) from 40 half-hourly NEE_VUT_XX","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_USTAR50","Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, from 50 percentile of USTAR threshold","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_USTAR50_JOINTUNC","Joint uncertainty estimation for NEE_VUT_USTAR50, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_USTAR50_QC","Quality flag for NEE_VUT_USTAR50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_USTAR50_RANDUNC","Random uncertainty for NEE_VUT_USTAR50, from measured only data uses only data points where NEE_VUT_USTAR50_QC is 0 and two hierarchical methods see header and NEE_VUT_USTAR50_RANDUNC_METHOD","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_USTAR50_RANDUNC_METHOD","Method used to estimate the random uncertainty of NEE_VUT_USTAR50 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_USTAR50_RANDUNC_N","Number of half-hour data points used to estimate the random uncertainty of NEE_VUT_USTAR50","nondimensional","FLUXNET VARIABLES","ICOS"
"NEE_VUT_05","NEE VUT 05 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_16","NEE VUT 16 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_25","NEE VUT 25 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_50","NEE VUT 50 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_75","NEE VUT 75 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_86","NEE VUT 86 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_95","NEE VUT 95 percentile calculated from the 40 NEE_VUT estimates","µmolCO2 m-2 s-1","FLUXNET VARIABLES","ICOS"
"NEE_VUT_05_QC","Quality flag for NEE_VUT_05. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor","nondimensional","FLUXNET VARIABLES","ICOS"
